id,district,avg_age,eco_idx
1,서울특별시 중구,46.3,83
2,서울특별시 동대문구,44.9,72
3,서울특별시 종로구,45.8,71
4,부산광역시 중구,51.5,71
5,서울특별시 용산구,45,67
6,서울특별시 송파구,42.6,65
7,서울특별시 강남구,42.3,62
8,서울특별시 서대문구,44.6,62
9,서울특별시 성동구,44,62
10,서울특별시 광진구,43.2,59
11,서울특별시 성북구,44.3,57
12,서울특별시 마포구,42.7,56
13,서울특별시 영등포구,43.5,55
14,부산광역시 수영구,47.5,55
15,서울특별시 강동구,43.6,54
16,서울특별시 은평구,45.5,54
17,서울특별시 도봉구,47,53
18,서울특별시 노원구,45,50
19,서울특별시 중랑구,46,50
20,서울특별시 서초구,42.2,50
21,제주특별자치도 서귀포시,46.6,49
22,부산광역시 서구,49.9,49
23,서울특별시 금천구,45.4,49
24,서울특별시 동작구,44.3,48
25,제주특별자치도 제주시,42.9,46
26,서울특별시 관악구,43.6,46
27,부산광역시 동래구,45.8,45
28,서울특별시 강서구,43.6,44
29,부산광역시 영도구,52.1,43
30,서울특별시 양천구,43.5,42
31,서울특별시 강북구,47.6,42
32,부산광역시 연제구,46.4,40
33,부산광역시 사하구,47,40
34,부산광역시 남구,46.7,39
35,부산광역시 동구,51.1,38
36,부산광역시 해운대구,45.8,37
37,서울특별시 구로구,44.8,37
38,부산광역시 부산진구,46.6,36
39,부산광역시 금정구,48,36
40,부산광역시 강서구,39.5,35
41,부산광역시 사상구,47.3,32
42,부산광역시 북구,46.4,32
43,부산광역시 기장군,43.1,28
